"Actb" "Cdkn1a" "Ddit4" "Ier3" "Mcl1" "Myh9" "Selp" "Synpo" "Fkbp5" "Ncor2" "Pim3" "Fas" "Gadd45g" "Picalm" "S1pr1" "Capn2" "Cltc" "Sbno2" "Smg7" "Hif1a" "Tagln2" "Atp1a1" "Ch25h" "Grrp1" "Gpr182" "Tspan2" "Lrrfip1" "Ldha" "Flnb" "Inafm2" "Jmjd1c" "Susd6" "Tcim" "Col4a1" "Inhbb" "Adamts9"
"Sema3e" 0.00102028307311591 0.00152438834003111 0.00113633665053215 0.0010767912816448 0.000995838216138638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115652544778068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0.0013082501693038 0 0.000987407534430331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00113302069762406 0.00164164008714949 0.00134730181547385 0.00119812636326757 0.0010763607005673 0.0011023572752852 0 0.00102816431642319 0.00100638573934569 0 0 0 0.000961165558879599 0 0 0.00109084173257511 0.000975432014375442 0 0 0 0 0 0 0 0 0 0.0010517541407796 0 0 0 0 0 0 0 0 0
"Itgb1" 0.00105680613317923 0.0023583641063619 0.00116214155369887 0.00111289387909132 0.000991810661214601 0.000959342627294909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cd24a" 0.00111160841279975 0.00168189949515965 0.00413030560598323 0.0042252454743507 0.00103054889148973 0.000994850920624813 0 0.00107133803166733 0.00427821351545805 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00539251770179806 0.00619499513618379 0.00665864341589796 0.00500389569898182 0 0 0 0 0 0 0 0 0 0
"Fgf10" 0 0.00144466638482769 0.00111395514306934 0.00106994094440697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00390165611301432 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.00136241977901401 0.000973934989669129 0.000995863644069516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Npw" 0 0.00101397727958555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pik3cb" 0.000993210203427552 0.00239390556252766 0.00120123085530808 0.00123277734646345 0.00100068250889322 0 0 0.00113108757845792 0 0 0 0 0 0 0 0 0 0 0 0.00200046767083967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0.00109533849537324 0.00162696765585824 0.00128524232057812 0.00130741887800563 0.00105026114866937 0.00101204289915805 0 0.00113254344306767 0.00101659273803326 0 0 0.00519764221138315 0 0 0 0 0 0 0 0.000983559505980519 0.00107664503474142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0.00122785065043676 0.00186433102548193 0.00138420109951235 0.00130340368556918 0.0013020756742901 0.00112257739291612 0 0.00114815000356182 0.00110396252916652 0 0 0.00104391186079182 0.00105121153315668 0 0 0.00116068258735429 0.0011060349405976 0.00113949807695955 0.0011057909253919 0 0.00106647066156083 0 0 0 0 0 0 0 0.00102031180602486 0 0 0 0 0 0 0
