"Aqp4" "Cxadr" "Elf3" "Epha2" "Gja1" "Icam1" "Id1" "Jund" "Per1" "Synpo" "Chil1" "Gadd45g" "Muc1" "Trf" "Cirbp" "F3" "Gsto1" "Hist1h1c" "Lcn2" "Xbp1" "Ager" "Basp1" "Ltf" "Aqp5" "Epas1" "Areg" "Akr1b8" "Ltbr" "Epn3" "Clu" "Scnn1a" "Cd9" "Mal" "Sdc1"
"Bmp4" 0 0.00112069283974755 0.00156756768819684 0.00184688004584551 0.00111062934186715 0.00243894759633319 0.00632163198852959 0.00153997994503132 0.00179192298289706 0.00149827112195519 0 0.00138317909069987 0.00145300057372067 0 0.00168303517881449 0.00122691940798283 0 0.00118209351480054 0 0.00102689348109847 0.00116320068753799 0 0 0 0.00140640766647413 0.00102000578607594 0 0.00104223149153199 0 0 0.00134478373706039 0.00132199584783824 0 0.00122099266834853
"Itgam" 0 0 0.00114542280446737 0.00127118773598424 0 0.00124723211845029 0.00144276506481265 0.00104442875129448 0.00110355040588419 0.00121011541602748 0 0 0.00101400923650789 0 0.00110182227636077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0 0.0013393931720182 0.00192954454991842 0.00242489808804238 0.00135162933996022 0.00562016913687305 0.00271600625417783 0.00215517700165225 0.00242287007272133 0.00174852904090139 0.00102910688978623 0.00186234155894657 0.00182282846358807 0.00129538079724044 0.00209947957000782 0.00160030831006446 0.00101283061767607 0.00152816064653883 0.00106582584138718 0.00115876871898168 0.00527474463608968 0.00115403279913705 0 0 0.0017065448039623 0.00108231725736186 0.00524403507165371 0.00159219971583468 0.00116412004007865 0.00133133735129286 0.00172803950719402 0.00141747211541946 0 0.00168926760704688
"Spp1" 0 0 0.00117075827913492 0.00148326489364376 0 0.00227822254511026 0.00175126392880559 0.00258795165478313 0.00139580930350346 0.00118109736860657 0 0.00106143540334703 0.00105936466308139 0 0.00139453074220996 0 0 0.0010163887399986 0 0 0.00106122873187081 0 0 0 0.0010496943658034 0.00478283586807755 0 0 0 0 0.00104971997931418 0 0 0
"Wnt5a" 0 0 0.00117302865271576 0.00125936576289916 0 0.00104291843160187 0.00148146162381321 0 0.0011771084517547 0.00103734664673774 0 0 0.00106100625422212 0 0.00111263399098977 0 0 0 0 0 0 0 0 0.00488738195361255 0.00104782124727082 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0 0.00106523973202938 0.00114700859439643 0 0 0.00152913713962086 0.00104470653963937 0.00113253405927967 0 0 0.00108993255240146 0.00111901032607358 0 0.00106530948135465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0 0 0.00142255426229398 0.00150218821176013 0.00105223831482593 0.00152664699934757 0.00188538761436714 0.00149068434798917 0.00154184974192217 0.00139699201939423 0 0.00109938512602467 0.00258179189905994 0 0.00148723392432611 0.00112707961239443 0 0 0 0 0.00114099932632288 0 0.00259341144660778 0 0.00109112507428202 0 0 0.00102562691992407 0 0 0.00107556118296018 0.00106345416670446 0 0.00107715938780886
"Tgfb1" 0 0.00109034180812989 0.00148904940255351 0.00189555020617561 0.00259638499600507 0.00403017469022695 0.00329054972768989 0.00167436345712904 0.00178398878439282 0.00154625998242254 0 0.0014453525000544 0.00148717407548361 0.00678442694765877 0.00166908971640241 0.00125370263898367 0.00422712107505249 0.00117934489929995 0 0 0.00482613282333761 0.0044648967027366 0 0 0.0013473289342046 0 0 0.00110398736468951 0 0.00239610071735005 0.00120866151243848 0.00129999112640331 0 0.00259061551054549
"Apoe" 0 0 0.00113677891491154 0.00117551792616752 0 0.00362141283380819 0.00142899901644446 0.00108283498462063 0.00116435146761913 0.00103850281956699 0 0 0 0 0.00111596233034372 0.00451778443203498 0.00389719153625941 0.00386916431110248 0.00403771682999996 0.00396342881260557 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il18" 0 0.00119506984423473 0.00224472458833232 0.00196574575923994 0.0014948635472648 0.00638287737709559 0.00224025979262454 0.00187254237404772 0.00211475256838758 0.00257245049960586 0.00266105959200761 0.00535090920847995 0.00219650554051816 0.00260962355080773 0.00168818934077886 0.00168699296148946 0 0.00143507866328023 0.00115619182562872 0.001172088135576 0.00187508733897885 0 0 0 0.00143110010846388 0.00107639184085284 0 0.00144352995607636 0 0 0.00138874000783006 0.00141815780642462 0 0.00132402343911044
"Edn1" 0.00713866059941827 0.00429997558129845 0.00118514565698407 0.00134148941713181 0.0043214010291651 0.00229219060221284 0.00161312937825614 0.00120724356811146 0.00142703670705039 0.00122600200152277 0 0.00107174032233149 0.00102861011455431 0 0.00114752324984176 0.00103668777171953 0 0 0 0 0.00102126706116092 0 0 0 0.00104408976790476 0 0 0 0 0 0.00102517480509589 0 0 0.00104157914415002
