"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"113"	"Nenf"	0.5157814262811	0.34122743326472	0.0399951192528531	0.0497350807492149	113	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"114"	"Cdh5"	0.514335055321338	0.33668074073509	0.0354484267232237	0.0493507000220254	114	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"115"	"Fgf7"	0.525158838548779	0.339644434058293	0.0384121200464265	0.0476730929008878	115	"Fibroblasts"	""
"116"	"Sema6d"	0.520691566217366	0.328484428058495	0.0272521140466285	0.0471866934982869	116	"Vascular_ECs"	""
"117"	"Rspo3"	0.521228945232864	0.331232114122609	0.0299998001107418	0.0434593943341466	117	"Lymphatic_ECs"	""
"118"	"Tfpi"	0.540464738831819	0.357731621842656	0.056499307830789	0.0429673292158678	118	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	"SMC"
"119"	"Clstn1"	0.516654790887318	0.334098850461641	0.0328665364497742	0.0425485816407665	119	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"120"	"Jam2"	0.518814698256239	0.331477109295164	0.0302447952832973	0.0416504402992516	120	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"121"	"Sema3c"	0.510677315282148	0.332134845450515	0.0309025314386484	0.0358683153696499	121	"Capillary_ECs, Mesothelium, Vascular_ECs"	""
"122"	"Itgal"	0.530079369791977	0.341886241741371	0.0406539277295048	0.0352387650193249	122	"Granulocytes, Lymphocytes"	""
"123"	"Ccl5"	0.522761415592899	0.337779296224492	0.036546982212625	0.0351056378013197	123	"Lymphocytes"	""
"124"	"Npnt"	0.509007778635472	0.323791700423326	0.0225593864114593	0.0342622205351945	124	"Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs"
"125"	"Sfrp2"	0.511971775231083	0.323366890134346	0.0221345761224792	0.0320198463724064	125	"Mesothelium, SMC"	"Mesothelium"
"126"	"Lama2"	0.522970726203907	0.327275915443565	0.026043601431698	0.0247358877607806	126	"Fibroblasts"	""
"127"	"Hmgb2"	0.520561427468677	0.32442294030728	0.0231906262954135	0.0235015872167438	127	"Granulocytes, Lymphocytes"	""
"128"	"Igf1"	0.519084377412268	0.320375118044258	0.0191428040323912	0.0165224559163671	128	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"129"	"Cadm1"	0.532198206757318	0.328926626253732	0.0276943122418653	0.0164771356826315	129	"Airway, Alveolum, Pericytes"	""
"130"	"Calr"	0.525885240385566	0.328830577778054	0.0275982637661871	0.000500819060696079	130	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"131"	"Dkk2"	0.490867525681373	0.309276935625292	0.00804462161342551	-0.00235132092954425	131	"Fibroblasts"	"Fibroblasts"
"132"	"App"	0.516852720543119	0.311262540096991	0.0100302260851245	-0.010910916109341	132	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
