"","Cxcr4","Ccr5","Ccr1","Ccr2","C3ar1","C5ar1","Nptn","Gpr35","Fcgr3","Clec7a","Fcgr2b","Ptafr","P2ry6","Gpr132","Gpr65","Itgam","Itgal","Itgb2","Il2rg","Csf2rb","Itgax","Sec63","Lrp10","Lsr","Il6ra","Tnfrsf1a","Tnfrsf1b","Ldlr","Dab2","M6pr","Scarb2","Itgb1","Itgb5","Itgb7","Rpsa","Cd44","Itga4","Agtrap","Tlr2","Plaur","F11r","Icam1","P2rx4","Tgfbr1","Tgfbr2","Axl","Mertk","Nrp1","Nrp2","Csf1r","Csf2ra","Amfr","Atp5b","Glg1","Sdc3","Cd47","Lrp1","Tnfrsf21","Selplg","Ptprc","Ptpn6","Plxnc1","Plxnb2","Ogfr","Notch2","Il4ra","Ifnar1","Erap1","Ebp","Derl1","Cd74","Alcam","Anxa6","Calm1","Ptk2b","Trpv2","Rrbp1","Ptpra","Rack1"
"Adam12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vwf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177486935459451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0.0988669581577084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885726481273005,0.208004759611892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206282774030582,0,0,0.0942608801914102,0,0,0,0,0.275662655135017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dusp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218358495907046,0,0,0.0161365689282064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lama2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0.0161365689282064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186687838188365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471078651730058,0,0.396060363097131,0.0995665826262429,0,0.377237572836133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433977464142074,0.330575519955274,0.140132663789715,0.161194146517752,0.294752691402503,0.103179164688241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
